93.915565 Framedifference 11   Time 40978
93.906815 Framedifference 11   Time 40989
90.35288 Framedifference 18   Time 41007
86.80782 Framedifference 18   Time 41025
86.37468 Framedifference 12   Time 41037
86.75482 Framedifference 10   Time 41047
87.88689 Framedifference 11   Time 41058
88.07912 Framedifference 11   Time 41069
88.53672 Framedifference 11   Time 41080
89.315025 Framedifference 11   Time 41091
89.18991 Framedifference 11   Time 41102
89.26776 Framedifference 11   Time 41113
89.82516 Framedifference 10   Time 41123
89.75715 Framedifference 12   Time 41135
89.81051 Framedifference 11   Time 41146
90.5308 Framedifference 10   Time 41156
90.632484 Framedifference 11   Time 41167
90.54025 Framedifference 11   Time 41178
89.08742 Framedifference 13   Time 41191
88.82426 Framedifference 12   Time 41203
86.94265 Framedifference 14   Time 41217
85.69538 Framedifference 13   Time 41230
85.99481 Framedifference 12   Time 41242
85.88976 Framedifference 11   Time 41253
85.26589 Framedifference 13   Time 41266
84.563065 Framedifference 13   Time 41279
84.413506 Framedifference 12   Time 41291
84.27837 Framedifference 12   Time 41303
83.88494 Framedifference 13   Time 41316
82.946 Framedifference 13   Time 41329
80.69626 Framedifference 16   Time 41345
80.99711 Framedifference 13   Time 41358
80.4875 Framedifference 12   Time 41370
80.07948 Framedifference 13   Time 41383
78.94425 Framedifference 15   Time 41398
78.34196 Framedifference 14   Time 41412
77.58943 Framedifference 14   Time 41426
77.19674 Framedifference 13   Time 41439
77.13924 Framedifference 13   Time 41452
76.52461 Framedifference 14   Time 41466
75.78856 Framedifference 15   Time 41481
75.10134 Framedifference 15   Time 41496
74.96259 Framedifference 13   Time 41509
74.120026 Framedifference 15   Time 41524
73.084015 Framedifference 16   Time 41540
72.63578 Framedifference 14   Time 41554
75.20865 Framedifference 10   Time 41564
78.21165 Framedifference 10   Time 41574
82.05162 Framedifference 9   Time 41583
84.04741 Framedifference 10   Time 41593
85.8781 Framedifference 10   Time 41603
87.48484 Framedifference 10   Time 41613
89.45485 Framedifference 9   Time 41622
89.77114 Framedifference 10   Time 41632
92.55735 Framedifference 9   Time 41641
93.68947 Framedifference 10   Time 41651
94.57368 Framedifference 10   Time 41661
95.48569 Framedifference 9   Time 41670
96.472626 Framedifference 9   Time 41679
97.48303 Framedifference 10   Time 41689
97.61946 Framedifference 10   Time 41699
99.177025 Framedifference 9   Time 41708
98.83652 Framedifference 10   Time 41718
98.404 Framedifference 11   Time 41729
96.058464 Framedifference 13   Time 41742
97.27115 Framedifference 9   Time 41751
97.52066 Framedifference 10   Time 41761
98.68387 Framedifference 9   Time 41770
99.34104 Framedifference 10   Time 41780
100.31155 Framedifference 9   Time 41789
98.65283 Framedifference 12   Time 41801
95.8114 Framedifference 14   Time 41815
96.23398 Framedifference 10   Time 41825
97.145515 Framedifference 10   Time 41835
98.2229 Framedifference 9   Time 41844
99.84413 Framedifference 9   Time 41853
101.08392 Framedifference 9   Time 41862
102.03857 Framedifference 9   Time 41871
102.82893 Framedifference 9   Time 41880
103.17789 Framedifference 9   Time 41889
102.22266 Framedifference 11   Time 41900
99.44455 Framedifference 13   Time 41913
99.854904 Framedifference 10   Time 41923
99.24928 Framedifference 11   Time 41934
99.884346 Framedifference 9   Time 41943
